studentAnswer,R_errortype
"input_list = input().split(',')
# 请不要更改此行以上的代码

# 在这里编写代码
def count_numbers(input_list):
  new_list=[0,0,0,0,0,0,0,0,0,0]
  for a in range(0,len(new_list)):
      for i in input_list:
          if a==int(i):
              new_list[a]+=1
    return new_list
# 请不要更改此行以下的代码
print(count_numbers(input_list))",No error
"x = int(input())
y = int(input())
i = 0
while i<=3:
  print(x%y)
# 在此处补全代码",No error
"num_old=int(input())
print(num_old, end=' ')
print('岁')
print()",No error
"param = int(input())
user_high = int(input())

def get_discount():
if user_high < 140:
    garam=0
else:
    garam=100

# 在此处补全代码

print(get_discount(param))",No error
"input_int = int(input())
# 请不要更改此行以上的代码

def power_of_two(num):
    if num == 0:# 在此补充:
        return 1
        # 在此补充
    else:
        # 在此补充
        return  power_of_two(num-1)*2

# 请不要更改此行以下的代码
print(power_of_two(input_int))",No error
"if user_age(int(input(x)))==18
    print(""num_candles=18"")
els print(""num_candles=3"")",No error
"print('       '+'你好')
print('再见')
print()",No error
"input_int = int(input())
input_int_2 = int(input())
input_int_3 = int(input())
# 请不要更改此行以上的代码

# 在这里编写代码
def create_matrix(input_int, input_int_2, input_int_3):
    result_list=[]
    for i in range(0,input_int):
        temp_list=[]
        for j in range(0,input_int_2):
            temp_list.append(input_int_3)
        result_list.append(temp_list)
      
    return result_list

# 请不要更改此行以下的代码
print(create_matrix(input_int, input_int_2, input_int_3))",No error
"param = int(input())
def double_until_one_thousand(param):
    if(param<=1000):
        print(param)
        param=param*2
# 在此处补全代码

double_until_one_thousand(param)",No error
"input_int_0 = int(input())
input_int_1 = int(input())
# 请不要更改此行以上的代码

def palindrome(x, y):
	a = "" ""
	if x == 0:
		return 0
	else:
		left = str(x*y) + a
		mid = palindrome(num -1 )
		right = a + str(x*y)
		return str(left ) + str(mid ) + str(right )    

# 请不要更改此行以下的代码
print(palindrome(input_int_0, input_int_1))",NameError
"num1 = int(input(""3""))
num2 = int(input(""4""))
print = (num1 + num2)

",No error
"cat_age=int(input())
if ((cat_age<=1)and(cat_age<=10)):
    print(""可以上飞机"")
else:
    print(""不能上飞机"")",No error
"age = int(input())
weight = int(input())
heart_rate = int(input())
time = int(int(input()))
calories_age=age*0.2757
calories_weight=weight*0.03295
calories_heart_rate=heart_rate*1.0781
calories_total=(calories_age+calories_weight+calories_heart_rate-75.4991)*time
calories_burned=calories_total/8.368
print(calories_burned)",No error
"x = int(input())
y = int(input())
z = int(input())

def smallest_among_three(x,y,z):
    print min([x,y,z])",No error
"input_int = int(input())
# 请不要更改此行以上的代码

def palindrome(num):
    if num == 0:
        return 0
    else:
        left = palindrome(num - 1)
        mid = palindrome(0)
        right = palindrome(num + 1)
    
        return left + mid + right

# 请不要更改此行以下的代码
print(palindrome(input_int))",RecursionError
"num_yuan = 1
num_jiao = 2

def num_coins(num_yuan,num_jiao):
    

print(num_coins)",No error
"input_list = input().split(',')
# 请不要更改此行以上的代码
# 在这里编写代码
def count_numbers(input_list):
    my_list=[]
    for i in input_list:
        b=my_list.count(i)
        a=int(i)
        my_list.insert(a,b)
    return my_list
# 请不要更改此行以下的代码
print(count_numbers(input_list))",No error
"param = input()

def reverse_string(param):
    str = ''
    for i in param:
        str = i + str
    print(str)
reverse_string(param)",No error
"for i in range(0, 10):
    print(i)
    # 在这里补全代码
    if i==5:
    break",No error
"x = int(input())
y = int(input())
z = int(input())

# 在这里补全代码
def smallest_among_three(x,y,z):
    if x>y:
        if y>z:
            return z
        else:
            return y
    else:
        if y<z:
            return x
        elif x<z:
            return x
        

print(smallest_among_three(x, y, z))",No error
"num_spiders=int(input())
web_size=1
if num_spiders==10:
    web_size=web_size*2
else:
    web_size=int(web_size*3)+5

print(num_spiders,web_size)",No error
"age = int(input())
weight = int(input())
heart_rate = int(input())
time = int(int(input()))

calories_burned = age*0.2757 + weight*0.03295 + heart_rate*1.0781 - 75.4991

calories_burned = calories_burned * time
calories_burned = calories_burned / 8.368

print(calories_burned)",No error
"num_yuan = int(input())
num_jiao = int(input())

print(""yuan: "", num_yuan,""jiao: "", num_jiao)",No error
"param = int(input())

def convert_num(param):
    if (param>= 10):
        param = param - 10
        print(param)
    else:
        print(param)
        

convert_num(param)",No error
"cat_age=int(input())
if (cat_age>=1) AND (cat_age<=10):
    print('可以上飞机')
else:
    print('不能上飞机')",No error
"my_list = input().split(',')
new_list = []
# 请不要更改此行以上的代码

# 在这里编写代码
new_list = reversed(my_list)
# 请不要更改此行以下的代码
print("","".join(new_list))",No error
"input_int = int(input())
# 请不要更改此行以上的代码

def palindrome(num):
    if num == 0:
        return 0
    else:
        left =str(num) 
        mid = str(palindrome(num-1))
        right =str(num) 
    
        return left + mid + right

# 请不要更改此行以下的代码
print(palindrome(input_int))",No error
"num_yuan = int(6)
num_jiao = int(5)
num_coins = (num_yuan + num_jiao)
# 在这里填写代码

print(num_coins)

num_yuan1 = int(7)
num_jiao1 = int(5)
num_coins1 = (num_yuan1 + num_jiao1)
# 在这里填写代码

print(num_coins1)",No error
"param = int(input())

def convert_num(param):
    if (param>=10):
        convert_num(param)=param-10

convert_num(param)",No error
"param = int(input())
def double_until_one_thousand(param):
# 在此处补全代码
    while 0 < param <= 1000:
        param*=2
    return  param
    
print(double_until_one_thousand(param))",No error
"param = int(input())

def get_discount(x):
    if(x<140):
        print(""0"")
    elif(x>=140):
        print(""100"")

get_discount(param)",No error
"cat_age = int(input())

if ((cat_age>= 1)and(cat_age<=10)):
    print(""可以上飞机"")
else:
    print(""不能上飞机"")",No error
"param = int(input())

def convert_num(param):
    if (param >= 10):
        
        param = param - 10

convert_num(param)",No error
"age = int(input())
weight = int(input())
heart_rate = int(input())
time = int(int(input()))

calories_burned=((age*0.2757+weight*0.03295+heart_rate*1.0781)-75.4991)*time*8.368)

print(calories_burned)",No error
"temp_list = input().split(',')
# 请不要更改此行以上的代码
def get_max(temp_list):
    max_num=int(temp_list[0])
    for i in temp_list:
        num=int(i)
        if num>max_num:
        max_num=num
    return max_num
# 在这里编写代码

# 请不要更改此行以下的代码
print(get_max(temp_list))",No error
"param = int(input())

# 在此补全代码
def get_age_status():
    
    if 0 <= param < 18:
        return ""未成年人""
    elif 18 <= param < 65:
        return ""工作中""
    elif param >= 65:
        return ""退休了""

print(get_age_status(param))",TypeError
"param = int(input())
def get_age_status(param):
    if(0<=param<18):
        return '未成年人'
    elif(18<=param<65):
        return '工作中'
    else:
        return '退休了'
print(get_age_status(param))",No error
"def welcome_to_circle_cat()


# 请不要更改此行以下的代码
welcome_to_circle_cat()",No error
"line_list = input().split(';')
temp_list = []
for i in line_list:
    temp_list.append(i.split(','))
# 请不要更改此行以上的代码

# 在这里编写代码
def sum_of_matrix(my_list):
    total = 0
    for i in range(len(my_list)):
        for j in range(len(i)):
            total += int(my_list[i][j])
            j += 1
        i += 1
    return total

# 请不要更改此行以下的代码
print(sum_of_matrix(temp_list))",TypeError
"my_list = input().split(',')
new_list = []
# 请不要更改此行以上的代码

# 在这里编写代码
for i in my_list.reverse():
    new_list.append(i)
# 请不要更改此行以下的代码
print("","".join(new_list))",TypeError
"param = int(input())
double_until_one_thousand = param
print(double_until_one_thousand)
while(double_until_one_thousand(param)<=1000):
    double_until_one_thousand =double_until_one_thousand*2
# 在此处补全代码

double_until_one_thousand(param)",TypeError
"line_list = input().split(';')
temp_list = []
for i in line_list:
    temp_list.append(i.split(','))
# 请不要更改此行以上的代码

# 在这里编写代码
def sum_of_matrix(my_list):
    sum = 0
    for x in range(0,n):
        for j in range(0,m):
            sum += int(my_list[x][j])
    return(sum)
    
# 请不要更改此行以下的代码
print(sum_of_matrix(temp_list))",NameError
"param = int(input())

def print_num(param):
    if (param = 10):
        print(param)
  
print_num(param)",No error
"input_list = input().split(',')
# 请不要更改此行以上的代码
new_list = [0,0,0,0,0,0,0,0,0,0]
def count_numbers(input_list):
    for i in range(9):
        count = 0
        for j in input_list:
            if (int(j) == i):
                count += 1
        new_list[i] = count
    return new_list
            

# 请不要更改此行以下的代码
print(count_numbers(input_list))",No error
"cat_age = int(input())
if (cat_age >= 1)and(cat_age<=10) :
    print(""可以上飞机"")
else:
    print(""不能上飞机"")
    
",No error
"param = int(input())
count=0
# 在此处编写代码
def count_ones(param):
    for i in range(param):
        
        if i==1:
            count +=1
        return count
print(count_ones(param))",UnboundLocalError
"temp_list = input().split(',')
# 请不要更改此行以上的代码

# 在这里编写代码
def palindrome(my_list):
    my_list.pop()
    del my_list[0]
    for i in range(0, len(new_list)//2):
        if new_list[i] != new_list[len(new_list)-1-i]:
            return False
    else:
        return True
# 请不要更改此行以下的代码
print(palindrome(temp_list))",NameError
"input_int_0 = int(input())
input_int_1 = int(input())
# 请不要更改此行以上的代码

def palindrome(x, y):
    if x == 0:
        return 0
    for i in range(0, x):
        left = str(x*y) + ' '
        mid = str(palindrome(x,(x-1)*y))
        right = ' ' + str(x*y)
        return left + mid + right

# 请不要更改此行以下的代码
print(palindrome(input_int_0, input_int_1))",RecursionError
"print(""00000"")
print(""0"""" """"0"""" """"0"")
print(""00000"")",No error
"param = input()

# 在此处编写代码

i = len(param)

print(param[i:1])",No error
"temp_list = input().split(',')
# 请不要更改此行以上的代码

# 在这里编写代码
def count_negative(temp_list):
    for n in temp_list:
        n=int(n)
        a=0
        if n > 0:
            continue
        a=a+1
        return a
# 请不要更改此行以下的代码
print(count_negative(temp_list))",No error
"age = int(input())
weight = int(input())
heart_rate = int(input())
time = int(int(input()))

# 在此处补全代码
num=(age*0.2757+weight*0.03295+heart_rate*1.0781)-75.4991
calories_burned=num*time/8.368
print(calories_burned)",No error
"num_spiders = int(input())
num_cats = int(input())
#在这里补全代码
if num_spiders > 10:
    if num_cats > num_spiders:
        print(""猫会吃掉蜘蛛"")
    else:
    print(""猫吃不完蜘蛛"")
else:
    print('蜘蛛很少')",No error
"temp_list = input().split(',')
# 请不要更改此行以上的代码

def count_negative(my_list):
    m = 0
    for i in my_list:
        if int(i) < 0:
            m += 1
    return m

# 请不要更改此行以下的代码
print(count_negative(temp_list))",No error
"print(input()""岁\n"")",No error
"param = int(input())

def get_age_status(param):
    if param >= 0 and param < 18:
        print(""未成年人"")
    elif param >= 18 and param < 65:
        print(""工作中"")
    else:
        print('退休了')

get_age_status(param)",No error
"print('I can')
print(""swim"")
my_age = 10
print(my_age)",No error
"i = int(input())

def is_leap_year(i):
    if(i%4==0)&(i%100!=0):
        print(""是闰年"")
    elif(i%400==0):
        print(""是闰年"")
    else:
        print(""不是闰年"")

is_leap_year(i)",No error
"param = int(input())

# 在此处编写代码
def count_ones(param):
    count=0
    for c in str(param):
        if c ==""1"":
            count=count+1
    return(count)
print(count_ones(param))",No error
"x = int(input())
y = int(input())
# 在此处补全代码
for i in range(3):
    x = x/y
    print(x)",No error
"param = int(input())

def get_discount(param):
    if param < 140:
        get_discount = 0
    else:
        get_discount = 100
",No error
"time = int(input())
if time 8 < time < 22:
    print(""醒着"")
else:
    print(""睡觉了"")",No error
"my_list = input().split(',')
new_list = []
# 请不要更改此行以上的代码

# 在这里编写代码
# 1.将my_list的元素利用pop（）取出来
my_list.pop()

# 2.利用append将这些元素添加进新列表

# 3.循环
for i in my_list:
    i = my_list.pop()
    new_list.append(i)
# 4.总结验证

# 请不要更改此行以下的代码
print("","".join(new_list))",No error
"param = int(input())

def get_age_status(param):
    if (0<param<18):
        print('未成年人')
    elif (18<=param<65):
        print('工作中')
    elif (param>=65):
        print('退休了')

print(get_age_status(param))",No error
"param = int(input())
def get_age_status(param):
    if 0<=param<18:
        print('未成年人')
    elif 18<=param<65:
        print('工作中')
    else:
        print('退休了')
print(get_age_status(param))",No error
"temp_list = input().split(',')
# 请不要更改此行以上的代码

# 在这里编写代码
def palindrome(my_list):
    del my_list[0]
    del my_list[-1]
    for i in range(0, len(my_list)):
        if my_list[i] == my_list[-i]:
            return True
    return False

# 请不要更改此行以下的代码
print(palindrome(temp_list))

# 1,2,3,4,5
# 0 1 2 3 4
# 第一位 第0项
# 第二位 第1项
# 第i位  第i-1项",No error
"temp_list = input().split(',')
# 请不要更改此行以上的代码



def count_negative(temp_list):
    res = 0
    for num in temp_list:
        num = int(num)
        if(num < 0):
            res += 1
    return res

# 请不要更改此行以下的代码
print(count_negative(temp_list))",No error
"param = input()

for param in ""CircleCat"":
    
    print(param[5])",IndexError
"my_list = input().split(',')
new_list = []
# 请不要更改此行以上的代码

# 在这里编写代码
while my_list:
    reverse_letter = my_list.pop()
    new_list.append(reverse_letter)
# 请不要更改此行以下的代码
print("","".join(new_list))",No error
"num1 = int(input(""3""))
num2 = int(input(""4""))
totalnum1 = num1 + num2
print = (totalnum1)

",No error
"param = input()

count=0
j=0
def count_spaces_and_commas(param):
    for i in param:
        if i == "","":
            count+=1
        if i =="" "":
            j+=1
    print(""有""+str(count)+""个逗号和""+str(j)+""个空格"")
        

count_spaces_and_commas(param)",UnboundLocalError
"input_dict = input()
input_dict = eval(input_dict)
# 请不要更改此行以上的代码

user_info = {}
def add_user(user_name,pass_word):
    user_info[str(user_name)] = str(pass_word)
def verify_user(user_name,pass_word):
    return str(user_name) in user_info

# 请不要更改此行以下的代码
for i in input_dict['add']:
    add_user(i[0], i[1])
for i in input_dict['verify']:
    print(verify_user(i[0], i[1]))",No error
"input_int = int(input())
# 请不要更改此行以上的代码

def fibonacci(num):
   if num == 0:
      return 1
   elif num == 1:
      return 1
   else:
       fibonacci(num) ==fibonacci(num - 1) + fibonacci(num - 2)

# 请不要更改此行以下的代码
print(fibonacci(input_int))",RecursionError
"A=int(input())
b=int(input())
print(A + b)",No error
"cat_age=int(input())
if((cat_age>=1) and (cat_age<=10)):
    print('可以上飞机')
else:
    print('不能上飞机')",No error
"num_cats = input();
num_dogs = input();
sum = num_cats +num_dogs;
print(sum);
print();",No error
"karma = int(input())
karma = karma+1
# 在这里填写代码

print(karma)",No error
"param = int(input())
def get_age_status(param):
    if 0 < param < 18:
        a = ""未成年人""
        return a
    elif 18 <= param < 65:
        b = ""工作中""
        return b
    elif param >= 65:
        c = ""退休了""
        return c
# 在此补全代码

print(get_age_status(param))",No error
"temp_list = input().split(',')
# 请不要更改此行以上的代码

# 在这里编写代码
def palindrome(temp_list):
    if len(temp_list) < 3:
        return False
    copy = temp_list[:]
    copy.pop()
    copy.pop(0)
    for i in range(len(copy)):
        if copy[i] != copy[-i-1]:
            return False
    return True
# 请不要更改此行以下的代码
print(palindrome(temp_list))
",No error
"user_input = int(input())

# 打印用户输入的值
print(user_input,""岁"")",No error
"input_dict = input()
input_dict = eval(input_dict)
# 请不要更改此行以上的代码

# 在这里编写代码
user_info={}

def add_user(user_name, pass_word):
    user_info[user_name]=pass_word
    return
def verify_user(user_name, pass_word):
    if user_name in user_info:
        if user_info[user_name]==pass_word:
            return True
        else:
            return False
    return False

# 请不要更改此行以下的代码
for i in input_dict['add']:
    add_user(i[0], i[1])
for i in input_dict['verify']:
    print(verify_user(i[0], i[1]))",No error
"print(""I can"")
print(""swim."")
my_age = (""10"") 
print('my age: '10)",No error
"input_dict = input()
input_dict = eval(input_dict)
# 请不要更改此行以上的代码

# 在这里编写代码
user_info={}
def add_user(user_name, pass_word):
    user_info[user_name] = pass_word
def verify_user(user_name, pass_word):
    if input_dict[user_name]==user_info[user_name]:
        return True
    else:
        return False

# 请不要更改此行以下的代码
for i in input_dict['add']:
    add_user(i[0], i[1])
for i in input_dict['verify']:
    print(verify_user(i[0], i[1]))",KeyError
"import ast
input_list = ast.literal_eval(input())
input_int = int(input())
# 请不要更改此行以上的代码

# 在这里编写代码
def multiply_lists(my_list,factor):
  return my_list*factor

# 请不要更改此行以下的代码
print(multiply_lists(input_list, input_int))",No error
"film_rate = int(input)

if film_rate > 7:
    print('好看')
else:
    print('不好看')",TypeError
"x = int(input())
y = int(input())
z = int(input())

# 在这里补全代码
def smallest_among_three(x, y, z):
    min = x
    if x>y:
        if y>z:
            min = z
        else:
            min = y
    return min
            
print(smallest_among_three(x, y, z))",No error
"x = int(input())
y = int(input())
z = int(input())

# 在这里补全代码
def smallest_among_three(x,y,z):
    if(x < y and y < z):
        print(x)
    elif(y < x and x < z):
        print(y)
    elif(z<y and y<x):
        print(z)
print(smallest_among_three(x, y, z))",No error
"param = input()

# 在此处编写代码
def count_spaces_and_commas(param):
    x=0
    y=0
    for i in param:
        if(i=="",""):
            x=x+1
        elif(i=="" ""):
            y=y+1
            print(""有""+str(x)+""个逗号和""+""str(y)+""""个空格"")

count_spaces_and_commas(param)",No error
"input_str = input()
# 请不要更改此行以上的代码

# 在这里编写代码
def get_first_duplicate(input_str):	
	
	res = ''
	position = {}
	pos = -1
	for j in input_str:
	    pos += 1
	    if j not in position:
	        position[j] = pos
        else:
		    if position [j] < pos:
		        res = position [j]
	return res
# 请不要更改此行以下的代码
print(get_first_duplicate(input_str))",No error
"input_dict = input()
input_dict = eval(input_dict)
# 请不要更改此行以上的代码

# 在这里编写代码
user_info={}
def add_user(user_name, pass_word):
    user_info['user_name']:'pass_word'
def verify_user(user_name, pass_word):
    if user_name in user_info and user_info[user_name]==pass_word:
        return ture
    else:
        return false
        
# 请不要更改此行以下的代码
for i in input_dict['add']:
    add_user(i[0], i[1])
for i in input_dict['verify']:
    print(verify_user(i[0], i[1]))",NameError
"age = int(input())

print(""my age is "" + b)",NameError
"param = int(input())

# 在此处补全代码
def double_until_one_thousand(param):
    while param <= 1000:
      print(param)
      param = param*2
    print(param)
",No error
"a=input(())
print('a\n ')",No error
"num_yuan = int(input(a))
num_jiao = int(input(b))
a=1
b=2
num_coins=num_yuan+num_jiao


# 在这里填写代码

print(num_coins)",NameError
"print('I can')
print('swim.')
my_age = 10
print('my age: ',my_age)",No error
"x = int(input())
y = int(input())
z = int(input())

def smallest_among_three():
    if x<y<=z:
        return x
    elif y<x<=z:
        return y
    else z<x<=y:
        return z

print(smallest_among_three(x, y, z))",No error
"def welcome_to_circle_cat():
    print(""Welcome to circle cat!"")# 在这里编写代码
welcome_to_circle_cat()
# 请不要更改此行以下的代码
welcome_to_circle_cat()",No error
"param = int(input())

# 在此处补全代码
def double_until_one_thousand(param):
    while param < 501:
        param = param*2
    print(param)
double_until_one_thousand(param)",No error
print(int(input(''))*3),No error
"input_int = int(input())
# 请不要更改此行以上的代码

def palindrome(num):
    if num == 0:
        return str(num) # 在这里补全代码
    else:
        left = str(num)+"" ""# 在这里补全代码
        mid = palindrome(num-1)  # 在这里补全代码 )
        right ="" ""+str(num)# 在这里补全代码
    
        return left + mid + right

# 请不要更改此行以下的代码
print(palindrome(input_int))",No error
"num1=int("""")
num2=int("""")
sum=num1+num2
print("""",sum)
",ValueError
"temp_list = input().split(',')
# 请不要更改此行以上的代码

# 在这里编写代码
num_max=0
def get_max(my_list):
    global num_max
    for i in my_list:
        if i>=num_max:
            num_max=i
    return i
    
# 请不要更改此行以下的代码
print(get_max(temp_list))",TypeError
"input_int = int(input())
input_int_2 = int(input())
input_int_3 = int(input())
# 请不要更改此行以上的代码

def create_matrix(input_int, input_int_2, input_int_3):
    create_matrix = []
    for i in range(input_int):
        sub = []
        for i in range(input_int_2):
            sub.append(input_int_3)
        create_matrix.append(sub)
    return create_matrix
        
# 请不要更改此行以下的代码
print(create_matrix(input_int, input_int_2, input_int_3))",No error
"input_int = int(input())
# 请不要更改此行以上的代码

def fib_3(num):
   if num == 0:
      return 1
   elif num == 1:
      return 1
   elif num == 2:
       return 1
      # 在这里补充代码
   else:
      return fib_3(num-1) + fib_3(num-2) + fib_3(num-3)

# 请不要更改此行以下的代码
print(fib_3(input_int))",No error
"num_cats = input()
num_dogs = input()
print(int(num_cats)+int(num_dogs))
print()",No error
"temp_list = input().split(',')
# 请不要更改此行以上的代码

def get_max(temp_list):
    if len(temp_list) == 1:
        return int(temp_list[0])
    else:
        max_num = int(temp_list[0])
        for i in temp_list:
            if i < max_num:
                return max_num
            else:
                max_num = i
        return max_num
            
# 在这里编写代码

# 请不要更改此行以下的代码
print(get_max(temp_list))",TypeError
"input_dict = input()
input_dict = eval(input_dict)
# 请不要更改此行以上的代码
# 在这里编写代码
user_info = {}

def log_user(user_name):
    user_info[user_name]=0
    if user_name in user_info:
        user_info[user_name] = int(user_info['user_name'])+1
    else:
        user_info[user_name] = 1
    return

def print_user_log(user_name):
    print(user_info['user_name'])


# 请不要更改此行以下的代码
for i in input_dict['log']:
    log_user(i)
for i in input_dict['print']:
    print_user_log(i)",KeyError
"param = int(input())

def convert_num(param):
	if (param >= 10):
		param = param - 10
		print(param)

convert_num(param)",No error
"num_students = int(input())
if(film_rate < 50):
    print('没到齐')
else:
    print('到齐了')",NameError
"input_list_0 = input().split(',')
input_list_1 = input().split(',')
# 请不要更改此行以上的代码

# 在这里编写代码
my_list=input_list_0+input_list_1
del my_list[0]
my_list[0]=""x""



# 请不要更改此行以下的代码
print("","".join(my_list))",No error
"user_age=int(input())
if user_age == 18:
    num_candles=18
else:
    num_candles=3
print(num_candles)",No error
"param = input()

# 在此处编写代码
def reverse_string(param):
    x=""""
    for i in param:
        x=i+x
 print(str(x))

reverse_string(param)",No error
"x = int(input())
y = int(input())
z = int(input())
def smallest_among_three(x,y,z)
    if x<y and x<z:
        print(x)
    if y<x and y<z:
        print(y)
    if z<x and z<y:
        print(z)
print(smallest_among_three(x, y, z))",No error
"# 在这里编写代码
def welcome_to_circle_cat():
 print(""Weclome to circle cat"")
welcome_to_circle_cat()
welcome_to_circle_cat()
# 请不要更改此行以下的代码
welcome_to_circle_cat()",No error
"num_spiders=int(input())
web_size = 1
if (num_spiders == 10):
    web_size = web_size *2
else:
    web_size = web_size *3
    num_spiders = num_spiders + 5

print(num_spiders + "" "" + web_size)",TypeError
"param = int(input())

def get_age_status(param):
    if (param<18)and(param>0): 
       print(""未成年人"")
    elif:(param<65)and(param>=18)
        print('工作中')
    else:param>=65
        print('退休了')

print(get_age_status(param))",No error
"x = int(input())
y = int(input())

def increment_by_three(x, y):
	while x<=y:
		print(x)
		x+=3

increment_by_three(x, y)",No error
"karma = int(input())

# 在这里填写代码
karma = karma +1
print(karma)",No error
"test=input()
print(test+"" ""+""岁"")
print()",No error
"input_int = int(input())
# 请不要更改此行以上的代码

def fib_3(num):
   if num == 1:
      return 1
   elif num == 2:
      return 1
   elif num == 3:
      return 1
   else:
      return fib_3(num - 1) + fib_3(num - 2) + fib_3(num - 3)

# 请不要更改此行以下的代码
print(fib_3(input_int))",RecursionError
"test_param = input()
# 请不要更改此行以上的代码

score_dict={'john':90,'jane':100,'james':0}
status_dict={'john':'active','jane':'active','james':'inactive'}

# 请不要更改此行以下的代码
print(score_dict[test_param])
print(status_dict[test_param])",No error
"user_age=int()
def user_age(x):
    if (x==18):
        num_candles=18
    else:
        num_candles=3
print(num_candles)",NameError
"x = int(input())
y = int(input())

# 在此处补全代码
x = x / y
print(x)
x = x / y
print(x)
x = x / y
print(x)
",No error
"num = input()

print(str(int(num)) +'岁')

",No error
"def welcome_to_circle_cat() :
 print(""welcome to circle cat!"")
welcome_to_circle_cat()
welcome_to_circle_cat()
welcome_to_circle_cat()",No error
"input_dict = input()
input_dict = eval(input_dict)
# 请不要更改此行以上的代码

user_attandance = {}

# 在这里编写代码
def log_user(user_name):
    if user_name in user_attendance:
        user_attendance[user_name] += 1
    else:
        user_attendance[user_name] = 1
        
def print_user_log(user_name):
    if user_name in user_attendance:
        print(user_attendance[user_name])
    else:
        print(0)

# 请不要更改此行以下的代码
for i in input_dict['log']:
    log_user(i)
for i in input_dict['print']:
    print_user_log(i)",NameError
"param = int(input())
def get_age_status(param):
    if(0<param<18):
        print('未成年人')
    elif(18<param<65):
        print('工作中')
    else:
        print('退休了')

print(get_age_status(param))",No error
"input_int = int(input())
# 请不要更改此行以上的代码

def power_of_two(num):
    if num == 0:
        print(1)
    else:
        print(2**num)

# 请不要更改此行以下的代码
print(power_of_two(input_int))",No error
"param = int(input())

# 在此补全代码
def get_age_status(param):
    if (0 <= param < 18):
        print(""未成年人"")
    elif (18<= param < 65):
        print(""工作中"")
    elif (param>=65):
        print(""退休了"")
print(get_age_status(param))",No error
"def welcome_to_circle_cat():
 print(""Welcome to circle cat!"")
welcome_to_circle_cat()
welcome_to_circle_cat()
welcome_to_circle_cat()",No error
"param = int(input())

# 在此处补全代码
def double_until_one_thousand(param):
    while(param<=1000):
        print(param)
        param*=2
        if(param>1000):
            break
  
    
double_until_one_thousand(param)",No error
"for i in range(0, 10):
    print(i)
    if i > 5 :
        break
    print (i)",No error
"num_spiders=int(input())
web_size=1
if(num_spiders == 10):
    web_size=web_size*2
else:
    web_size=web_size*3
    num_spiders=num_spiders+5

print(str(num_spiders)+"" ""+str(web_size))",No error
"param = str(input())

def count_spaces_and_commas(param):
    count1=0
    for int in str(param):
        if(int==','):
            count1=count1+1
    count2=0
    for int in str(param):
        if(int==' '):
            count2=count2+1
    print(""有""+str(count1)+""个逗号和""+str(count2)+""个空格"")
    

count_spaces_and_commas(param)",No error
"import ast
input_list = ast.literal_eval(input())
input_int = int(input())
# 请不要更改此行以上的代码

# 在这里编写代码
new_list=[]
def multiply_lists(my_list, factor):
    for i in range(factor):
        new_list+=my_list
    return new_list
# 请不要更改此行以下的代码
print(multiply_lists(input_list, input_int))",UnboundLocalError
"my_list = input().split(',')
new_list = []
# 请不要更改此行以上的代码

# 在这里编写代码
for i in my_list:
    new_list.append(my_list.pop())(i)
# 请不要更改此行以下的代码
print("","".join(new_list))",TypeError
"param = int(input())

# 在此处编写代码
def count_ones(num):
    snum=str(num)
    count = 0
    for i in snum:
        if i == '1':
            count += 1
    return count

print(count_ones(param))",No error
"num_students = int(input())

if num_students < 50:
    print(""没到齐"")
else:
    print(""到齐了"")",No error
"input_str = input()
# 请不要更改此行以上的代码

# 在这里编写代码

 
def get_first_duplicate(input_str):
    position = {}
    res = """"
    pos = len(input_str)
    for i in range(len(input_str)):
        if input_str[i] in position:
            if position[input_str[i]] < pos:
                res = input_str[i]
                pos = position[input_str[i]]
        else:
            position[input_str[i]] = i
    return res
    

# 请不要更改此行以下的代码
print(get_first_duplicate(input_str))",No error
"temp_list = input().split(',')
# 请不要更改此行以上的代码

def get_max(my_list):
	max_num = 0
	for x in my_list:
		while x > max_num:
			max_num = x
	return max_num

# 请不要更改此行以下的代码
print(get_max(temp_list))",TypeError
"a=input()
print(a,"" "", ""岁"")
print("""")",No error
"input_x = int(input())
input_y = int(input())
# 请不要更改此行以上的代码

def x_power_of_y(x, y):
    
    # 在此补充
    
    if y == 0:
        return 1
    # 在此补充:
        # 在此补充
    else:
        return power_of_two(x, y-1)*x
        # 在此补充

# 请不要更改此行以下的代码
print(x_power_of_y(input_x, input_y))",NameError
"input_dict = input()
input_dict = eval(input_dict)
# 请不要更改此行以上的代码

# 在这里编写代码

user_info = {}

def log_user(user_name):
    numoflogclass = 0
    if user_name in user_info:
        numoflogcalss+=1
        user_info[user_name]=numoflogcalss
    else:
        user_info[user_name]=numoflogcalss
        
    
def print_user_log(user_name):
    print(user_info[user_name])
    

# 请不要更改此行以下的代码
for i in input_dict['log']:
    log_user(i)
for i in input_dict['print']:
    print_user_log(i)",UnboundLocalError
"param = int(input())

def print_num(input_num):
    if (input_num == 10):
        print(input_num)
    else:
        pass

print_num(param)",No error
"def welcome_to_circle_cat():
    print ('Welcome to circle cat!')
welcome_to_circle_cat()
welcome_to_circle_cat()
welcome_to_circle_cat()",No error
"print(00000)
print(0_0_0)
print(00000)",No error
